                71914 14426+1930        Hu 575       4
17 Lib          72217 14462-2110        Fin 309      4
                72479 14492+1013   9397 A 2983       4 *
{xi} Boo        72659 14513+1906   9413 StF 1888     3
                73182 14574-2124   9446 GJ 570 Bb    4 *
44 Boo          73695 15038+4739   9494 StF 1909     3 *
                74537 15138-0121   9544 A 691        0 *
                74893 15183+2650   9578 StF 1932     4
{eta} CrB       75312 15233+3018   9617 StF 1937     3
{mu} Boo        75411 15245+3722        CHARA 181 Aa 3 *
{mu} Boo        75415 15245+3722   9626 StF 1938 BC  3
                75529 15258+8430        Mlr 347      0 *
{beta} CrB      75695 15278+2906                     1 *
                76382 15360+3949   9716 Stt 298      3
                76466 15370+6426   9730 Hu 1168      4
{iota} Ser      76852 15416+1940   9744 Hu 580       4 *
{gamma} CrB     76952 15427+2618   9757 StF 1967     4 *
{iota} Nor      78662 16035-5747        See 258 AB   4 *
{xi} Sco        78727 16044-1123   9909 StF 1998 AB  4 *
                80199 16224-3220        Jsp 691      0 *
                80460 16254+3724        CHARA 55     0 *
                80725 16289+1825  10075 StF 2052     3
{zeta} Her      81693 16413+3136  10157 StF 2084     3 *
                82817 16555-0820        Kui 75       1 *
c Her           83838 17080+3556  10360 Hu 1176      4 *
{eta} Oph       84012 17104-1544  10374 Bu 1118      4 *
                84123 17119-0151        LPM 629      4 *
                84140 17121+4540        Kui 79       1 *
                84425 17156-3836        Fin 355      4 *
                84709 17190-3459        MlbO 4       3 *
                84949 17217+3958)       McA 47       4 *
                85141 17240-0921        Rst 3972     4 *
                85582 17293+2924  10585 A 351        4
                85667 17304-0104  10598 StF 2173     3
                85846 17326+3445  10624 Hu 1181      4
26 Dra          86036 17351+6152  10660 Bu 962       3
                86221 17372+2754        Kui 83 AB    4 *
                87204 17490+3704        Cou 1145     4 *
                87655 17542+1108        Fin 381      1 *
                87895 17572+2400)       McA 50       1
{tau} Oph       88404 18031-0811  11005 StF 2262     4 *
70 Oph          88601 18055+0230  11046 StF 2272     3
                88637 18058+2127  11060 Stt 341 AB   4 *
99 Her          88745 18071+3034  11077 AC 15        4
                88932 18092-2211        Rst 3157     4 *
73 Oph          88964 18096+0359  11111 StF 2281     4
{phi} Dra       89908 18208+7120  11311 Stt 353      0 *
{chi} Dra       89937 18211+7245                     1 *
                91394 18384-0312  11520 A 88         4 *
                91395 18384+6707  11568 StF 2384     4 *
                92122 18466+3821  11680 Hu 1191      4
                93017 18570+3254  11871 Bu 648       3
{zeta} Sgr      93506 19026-2953  11950 HdO 150      3
                93574 19035-6845        Fin 357      4
                94056 19089+3404        Cou 1462     0 *
                94252 19111+3847  12145 Se 2 BC      4 *
                94739 19167-4553        Rst 4036     4 *
                95995 19311+5835        McA 56       3 *
                96907 19420+4015        Kui 94       4 *
                97222 19456+3336  12889 StF 2576     3
                97237 19458+2707        Kui 95       4 *
                98001 19550+4152  13125 Ho 581       4 *
                98416 19598-0957        Ho 276       1 *
                99376 20102+4357  13461 Stt 400      4
               101227 20311+3333        Cou 1962     0 *
               101750 20374+7536        Hei 7        4 *
{beta} Del     101769 20375+1436  14073 Bu 151       3 *
               101955 20396+0458        Kui 99       4 *
{alpha} Del    101958 20396+1555  14121 Wck Aa       4 *
               102782 20494+1124  14333 J 194 AB     4 *
               103655 21001+4004        Kui 103      4 *
               104019 21044-1951        Fin 328      4
               104788 21137+6424  14783 H 48         4
{delta} Equ    104858 21145+1001  14773 Stt 535      1 *
{tau} Cyg      104887 21148+3803  14787 AGC 13       3
               105200 21186+1134  14839 Bu 163       4 *
               105431 21214+1020  14893 A 617        4 *
               106255 21313-0947)       Bla 9        0
               106811 21380+2743        CC 1299      4 *
{kappa} Peg    107354 21446+2539  15281 Bu 989       1 *
               107522 21466-5742        Fin 283      1 *
13 Peg         107788 21501+1717        Cou 14       3 *
{delta} Ind    108431 21579-5500        Fin 307      1 *
33 Peg         110548 22236+2051  15896 StF 2900     0 *
               110893 22281+5741  15972 Kr 60        3
37 Peg         111062 22300+0426  15988 StF 2912     4
               111293 22327+5347        Kui 112      0 *
               111314 22330+6954  16057 StF 2924     4 *
               111528 22357+5312  16098 A 1470       4
               111805 22388+4419  16138 Ho 295       4 *
               111965 22408-0333        Kui 114      4 *
               111974 22409+1433  16173 Ho 296       3 *
               112915 22520+5743  16326 A 632        4 *
               113048 22537+4445  16345 Bu 382       4 *
               113445 22586+0921  16417 Stt 536      3 *
83 Aqr         113996 23052-0743  16497 A 417        4 *
{pi} Cep       114222 23078+7523  16538 Stt 489      4 *
94 Aqr         115126 23191-1328  16672 McA 74 Aa    1 *
               116436 23357-2729  16850 See 492      4
               116849 23411+4613        Mlr 4        4 *
               117570 23506-5142        Slr 14       4 *
